2, 2.46740638, 3558, 1442
8, 2.46740638, 3558, 1442
18, 2.4746351633, 3561, 1439
32, 2.46740638, 3558, 1442
50, 2.4411562285, 3547, 1453
72, 2.4482758621, 3550, 1450
98, 2.4506556246, 3551, 1449
128, 2.46740638, 3558, 1442
162, 2.4554250173, 3553, 1447
200, 2.3921302578, 3526, 1474
242, 2.4153005464, 3536, 1464
288, 2.4602076125, 3555, 1445
338, 2.4364261168, 3545, 1455
392, 2.3944331297, 3527, 1473
450, 2.4199726402, 3538, 1462
512, 2.46740638, 3558, 1442
578, 2.4340659341, 3544, 1456
648, 2.4317089911, 3543, 1457
722, 2.4317089911, 3543, 1457
800, 2.4387895461, 3546, 1454
882, 2.4482758621, 3550, 1450
968, 2.4364261168, 3545, 1455
1058, 2.4387895461, 3546, 1454
1152, 2.4340659341, 3544, 1456
1250, 2.4059945504, 3532, 1468
1352, 2.4293552812, 3542, 1458
1458, 2.4602076125, 3555, 1445
1568, 2.4458993797, 3549, 1451
1682, 2.4482758621, 3550, 1450
1800, 2.4083162918, 3533, 1467
1922, 2.4223134839, 3539, 1461
2048, 2.46740638, 3558, 1442
2178, 2.4176349966, 3537, 1463
2312, 2.4270047978, 3541, 1459
2450, 2.4602076125, 3555, 1445
2592, 2.4482758621, 3550, 1450
2738, 2.4626038781, 3556, 1444
2888, 2.4317089911, 3543, 1457
3042, 2.4106412005, 3534, 1466
3200, 2.4129692833, 3535, 1465
3362, 2.4317089911, 3543, 1457
3528, 2.4106412005, 3534, 1466
3698, 2.3898305085, 3525, 1475
3872, 2.4223134839, 3539, 1461
4050, 2.46740638, 3558, 1442
4232, 2.4153005464, 3536, 1464
4418, 2.4387895461, 3546, 1454
4608, 2.4698126301, 3559, 1441
4802, 2.4246575342, 3540, 1460
5000, 2.4129692833, 3535, 1465
5202, 2.3921302578, 3526, 1474
5408, 2.4317089911, 3543, 1457
5618, 2.4059945504, 3532, 1468
5832, 2.4746351633, 3561, 1439
6050, 2.4153005464, 3536, 1464
6272, 2.4153005464, 3536, 1464
6498, 2.4317089911, 3543, 1457
6728, 2.4482758621, 3550, 1450
6962, 2.4746351633, 3561, 1439
7200, 2.4153005464, 3536, 1464
7442, 2.4270047978, 3541, 1459
7688, 2.4770514604, 3562, 1438
7938, 2.4059945504, 3532, 1468
8192, 2.46740638, 3558, 1442
8450, 2.4411562285, 3547, 1453
8712, 2.4293552812, 3542, 1458
8978, 2.4340659341, 3544, 1456
9248, 2.4199726402, 3538, 1462
9522, 2.4340659341, 3544, 1456
9800, 2.4698126301, 3559, 1441
10082, 2.4435261708, 3548, 1452
10368, 2.4364261168, 3545, 1455
10658, 2.4176349966, 3537, 1463
10952, 2.4317089911, 3543, 1457
11250, 2.4153005464, 3536, 1464
11552, 2.4435261708, 3548, 1452
11858, 2.3967391304, 3528, 1472
12168, 2.4223134839, 3539, 1461
12482, 2.4176349966, 3537, 1463
12800, 2.4482758621, 3550, 1450
13122, 2.4246575342, 3540, 1460
13448, 2.46740638, 3558, 1442
13778, 2.3944331297, 3527, 1473
14112, 2.4435261708, 3548, 1452
14450, 2.4340659341, 3544, 1456
14792, 2.4626038781, 3556, 1444
15138, 2.4223134839, 3539, 1461
15488, 2.4106412005, 3534, 1466
15842, 2.4059945504, 3532, 1468
16200, 2.3783783784, 3520, 1480
16562, 2.4387895461, 3546, 1454
16928, 2.4506556246, 3551, 1449
17298, 2.4317089911, 3543, 1457
17672, 2.4746351633, 3561, 1439
18050, 2.4340659341, 3544, 1456
18432, 2.4554250173, 3553, 1447
18818, 2.4794711204, 3563, 1437
19208, 2.4199726402, 3538, 1462
19602, 2.3990482665, 3529, 1471
20000, 2.3852403521, 3523, 1477
20402, 2.4364261168, 3545, 1455
20808, 2.4013605442, 3530, 1470
21218, 2.4602076125, 3555, 1445
21632, 2.4246575342, 3540, 1460
22050, 2.4578146611, 3554, 1446
22472, 2.4059945504, 3532, 1468
22898, 2.4340659341, 3544, 1456
23328, 2.4293552812, 3542, 1458
23762, 2.465003465, 3557, 1443
24200, 2.4129692833, 3535, 1465
24642, 2.4602076125, 3555, 1445
25088, 2.4554250173, 3553, 1447
25538, 2.3990482665, 3529, 1471
25992, 2.4083162918, 3533, 1467
26450, 2.4223134839, 3539, 1461
26912, 2.4411562285, 3547, 1453
27378, 2.4626038781, 3556, 1444
27848, 2.4794711204, 3563, 1437
28322, 2.4435261708, 3548, 1452
28800, 2.4246575342, 3540, 1460
29282, 2.4411562285, 3547, 1453
29768, 2.4482758621, 3550, 1450
30258, 2.40367597, 3531, 1469
30752, 2.4270047978, 3541, 1459
31250, 2.3806626099, 3521, 1479
31752, 2.4843205575, 3565, 1435
32258, 2.4482758621, 3550, 1450
32768, 2.46740638, 3558, 1442
33282, 2.4411562285, 3547, 1453
33800, 2.4246575342, 3540, 1460
34322, 2.4199726402, 3538, 1462
34848, 2.4129692833, 3535, 1465
35378, 2.4916201117, 3568, 1432
35912, 2.4246575342, 3540, 1460
36450, 2.4013605442, 3530, 1470
36992, 2.4059945504, 3532, 1468
37538, 2.40367597, 3531, 1469
38088, 2.4129692833, 3535, 1465
38642, 2.4176349966, 3537, 1463
39200, 2.4818941504, 3564, 1436
39762, 2.4129692833, 3535, 1465
40328, 2.4435261708, 3548, 1452
40898, 2.453038674, 3552, 1448
41472, 2.4578146611, 3554, 1446
42050, 2.4246575342, 3540, 1460
42632, 2.4176349966, 3537, 1463
43218, 2.4891835311, 3567, 1433
43808, 2.4506556246, 3551, 1449
44402, 2.4317089911, 3543, 1457
